GrantId,Distance_Min,Grant_Match
1118,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
1122,0.6,[]
1131,0,"[{""Grant"":""622"",""Jaccard"":0},{""Grant"":""827"",""Jaccard"":0},{""Grant"":""949"",""Jaccard"":0}]"
1139,0.9,[]
1141,0.75,[]
1149,0.9966555183946488,[]
1151,0.8387096774193549,[]
1155,0.770949720670391,[]
1158,0.8533333333333334,[]
1162,0.8823529411764706,[]
1166,0.5,[]
1175,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1732"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
1183,0.7777777777777778,[]
1211,0.4,[]
1213,0,"[{""Grant"":""2800"",""Jaccard"":0}]"
1219,0.5897435897435898,[]
1228,0,"[{""Grant"":""1360"",""Jaccard"":0},{""Grant"":""7192"",""Jaccard"":0}]"
1241,0.75,[]
1245,0.7276264591439688,[]
1252,0.8974358974358975,[]
1262,0.7222222222222222,[]
1264,0.7142857142857143,[]
1266,0.8333333333333334,[]
1274,0.4,[]
1297,0.42857142857142855,[]
1299,0,"[{""Grant"":""620"",""Jaccard"":0},{""Grant"":""1541"",""Jaccard"":0},{""Grant"":""2807"",""Jaccard"":0},{""Grant"":""3425"",""Jaccard"":0}]"
1311,0.5,[]
1321,0,"[{""Grant"":""634"",""Jaccard"":0}]"
1325,0,"[{""Grant"":""522"",""Jaccard"":0}]"
1360,0,"[{""Grant"":""1228"",""Jaccard"":0},{""Grant"":""7192"",""Jaccard"":0}]"
1403,0.6342494714587738,[]
1424,0.8333333333333334,[]
1464,0.75,[]
1467,0.3333333333333333,[]
1499,0.6363636363636364,[]
1509,0.625,[]
1534,0.6666666666666666,[]
1541,0,"[{""Grant"":""620"",""Jaccard"":0},{""Grant"":""1299"",""Jaccard"":0},{""Grant"":""2807"",""Jaccard"":0},{""Grant"":""3425"",""Jaccard"":0}]"
1561,0.7662815126050421,[]
1565,0.42857142857142855,[]
1573,0.8241758241758241,[]
1577,0.875,[]
1589,0,"[{""Grant"":""7052"",""Jaccard"":0}]"
1592,0.827930174563591,[]
1595,0.547486033519553,[]
1599,0.710204081632653,[]
1609,0.8,[]
1619,0.75,[]
1620,0.6230769230769231,[]
1624,0.7894385026737968,[]
1625,0.6666666666666666,[]
1632,0.8486238532110092,[]
1634,0.7918032786885246,[]
1638,0.9166666666666666,[]
1641,0.7058823529411765,[]
1653,0.8913043478260869,[]
1657,0.6666666666666666,[]
1666,0.5,[]
1668,0.7894385026737968,[]
1669,0.6984126984126984,[]
1670,0.6666666666666666,[]
1676,0.6956521739130435,[]
1684,0,"[{""Grant"":""4628"",""Jaccard"":0}]"
1692,0.8,[]
1693,0.7347670250896058,[]
1732,0,"[{""Grant"":""104"",""Jaccard"":0},{""Grant"":""126"",""Jaccard"":0},{""Grant"":""318"",""Jaccard"":0},{""Grant"":""516"",""Jaccard"":0},{""Grant"":""556"",""Jaccard"":0},{""Grant"":""769"",""Jaccard"":0},{""Grant"":""810"",""Jaccard"":0},{""Grant"":""1118"",""Jaccard"":0},{""Grant"":""1175"",""Jaccard"":0},{""Grant"":""2054"",""Jaccard"":0},{""Grant"":""3694"",""Jaccard"":0},{""Grant"":""4170"",""Jaccard"":0},{""Grant"":""4503"",""Jaccard"":0},{""Grant"":""4981"",""Jaccard"":0},{""Grant"":""5079"",""Jaccard"":0},{""Grant"":""6907"",""Jaccard"":0}]"
1736,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1760"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
1744,0.7578451882845189,[]
1749,0.625,[]
1751,0,"[{""Grant"":""2959"",""Jaccard"":0}]"
1760,0,"[{""Grant"":""101"",""Jaccard"":0},{""Grant"":""584"",""Jaccard"":0},{""Grant"":""1051"",""Jaccard"":0},{""Grant"":""1736"",""Jaccard"":0},{""Grant"":""2010"",""Jaccard"":0},{""Grant"":""2135"",""Jaccard"":0},{""Grant"":""2157"",""Jaccard"":0}]"
1761,0.7857142857142857,[]
1773,0.625,[]
1776,0.5,[]
1802,0.5,[]
1805,0.8058925476603119,[]
1809,0.68,[]
1821,0.8,[]
1826,0,"[{""Grant"":""4836"",""Jaccard"":0},{""Grant"":""4953"",""Jaccard"":0}]"
1836,0.9871794871794872,[]
1855,0.7837837837837838,[]
1857,0.9583333333333334,[]
1863,0.5,[]
1923,0.38095238095238093,[]
1929,0.75,[]
1970,0.7952755905511811,[]
1988,0.8,[]
1996,0,"[{""Grant"":""2035"",""Jaccard"":0},{""Grant"":""2149"",""Jaccard"":0},{""Grant"":""2165"",""Jaccard"":0},{""Grant"":""2183"",""Jaccard"":0}]"
