Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
ftirtsjar,4,0,0,0,10,0,1,0,NA,NA,NA,0.6225659145803958,0.24702047848707462
yayu-huang,3,0,0,0,1,0.07,1,0,NA,NA,NA,0.548541258175219,0.17909349287424622
bblytherussell,5,0,0,0.07,11,0,1,0,NA,NA,NA,0.693914624748437,0.3124919449475319
myronalo,3,0,0,0,8,0,1,0,NA,NA,NA,0.5736319502067021,0.20211737652876416
chelcointeam,5,0,4,0,1,0.1,1,0,0.2,10,2,0.43748764130493034,0.4838237588435997
ruthxbraswe,6,0,0,0,17,0,1,0,0.5,2,1,0.4365211220493904,0.4829368551718524
ladiesman324,5,0,1,0,1,0,1,0,NA,NA,NA,0.5887118682281282,0.21595510876864532
garegasef,3,0,0,0,8,0,1,0,NA,NA,NA,0.5736541265567335,0.20213772613499928
freyramiromwyc,6,0,3,0,5,0.1,0,0,1,12,12,0.47684511852335076,0.5199392225093777
bertrteemqr,5,0,0,0.07,9,0,1,0,NA,NA,NA,0.6800636461245905,0.29978192005318033
faylando,2,0,0,0,9,0,1,0,NA,NA,NA,0.5380740209603468,0.16948847873126988
tomschuster547,6,0,0,0,8,0,1,0,NA,NA,NA,0.6393996122834803,0.2624675254200498
moore166,2,0,1,0.11,6,0.08,1,0,NA,NA,NA,0.6575287784342388,0.27910332851725983
naomi-ee,2,0,4,0,3,0,0,0,1,2,2,0.3844085475045138,0.43511697631984153
tesujnlkf,4,0,0,0.17,23,0,1,0,NA,NA,NA,0.7258245444146091,0.3417733325193491
dsfhrtjasf,4,0,0,0,11,0.05,1,0,NA,NA,NA,0.6719193815755188,0.2923085271633327
azarimelika,4,0,0,0.06,11,0,1,0,NA,NA,NA,0.671845460408747,0.29224069514254897
niukutzu,4,0,3,0.3,6,0.06,1,0,0.62,8,5,0.492849051129423,0.5346248550090555
ffhjjkssscb,6,0,0,0,12,0,1,0,NA,NA,NA,0.6652332120410188,0.28617312088344427
veronicahobso,5,0,0,0,11,0,1,0,NA,NA,NA,0.6498613054108446,0.2720674521614673
haascoxxvif,5,0,3,0,5,0.28,0,0,1,13,13,0.5059534259688755,0.5466497764934916
kujfhnh,3,0,0,0,10,0,1,0,NA,NA,NA,0.5872500771552178,0.21461373055764704
tananfakori4,4,0,0,0,9,0,1,0,1,1,1,0.37530885187491797,0.42676685456136426
nibabalailel,5,0,0,0,1,0,1,0,NA,NA,NA,0.5563547255029874,0.1862633374710866
luffynonakama,6,0,2,0.32,24,0.25,0,0,0,4,0,0.8566945780672202,0.8684991487081392
gemgeo,2,0,4,0.09,6,0,1,0,0.22,9,2,0.38211514330542196,0.4330124878750263
anselwilmot,4,0,0,0,8,0,1,0,NA,NA,NA,0.6092693447073368,0.23481919374860097
irmarcarpen,5,0,0,0,17,0,1,0,0.5,2,1,0.4264013143183452,0.4736506515265596
malachikerr,4,0,0,0.07,10,0,1,0,NA,NA,NA,0.6669518791684608,0.287750215366666
ealvawxs,3,0,0,0,10,0,1,0,NA,NA,NA,0.5872944298552808,0.21465442977011728
egrujr5ju,5,0,0,0,9,0,1,0,NA,NA,NA,0.6360325031370295,0.25937777687335084
nxl5154,2,0,2,0,1,0,0,0,0,3,0,0.4358909441026617,0.4823585871946711
fhrjiwaf,4,0,0,0.07,10,0.05,1,0,1,1,1,0.4685622517865822,0.5123386445805607
drj0hnwats0n,6,0,0,0,15,0.03,1,0,0,4,0,0.5464844017097966,0.5838420734892114
terripoisedgds,7,0,0,0,7,0,1,0,NA,NA,NA,0.6374443974223689,0.2606733684703201
bnnnjhgdsdgxx,8,0,0,0,14,0,1,0,NA,NA,NA,0.6796995843782399,0.2994478473508204
xvfsdfvfdb,4,0,0,0,7,0,1,0,NA,NA,NA,0.6023669557600297,0.22848537880792005
alanwuu,2,0,1,0,1,0.1,0,0,0.67,15,10,0.28399773062018013,0.3429773508882603
christagne,2,0,0,0,11,0,1,0,NA,NA,NA,0.5521578512595243,0.18241217449109026
takoyaki66,4,0,2,0.11,20,0,0,0,0.12,8,1,0.5743471374952183,0.6094096579231192
tahamd12345,3,0,0,0,10,0.1,1,0,NA,NA,NA,0.6538881609707328,0.2757626014936611
uoreau,1,2,0,0,9,0,1,0,1,1,1,0.1954956137027667,0.26176546400493816
clubpeng78,4,0,1,0.25,2,0.1,1,0,NA,NA,NA,0.7409820796611454,0.35568228838105315
huynghi9689,4,0,0,0,1,0.03,1,0,NA,NA,NA,0.5744358428953442,0.20285504975478724
luisdedja,3,0,0,0.13,11,0,1,0,NA,NA,NA,0.6538733767373784,0.2757490350895043
sarabahrami66,5,0,0,0,9,0,1,0,1,1,1,0.395419105295158,0.4452205558155783
cryptokat888,3,0,0,0,2,0,1,0,NA,NA,NA,0.5235152471646612,0.15612896223791403
nellalsop,3,0,0,0.07,10,0,1,0,1,1,1,0.3908784976262065,0.44105397393893764
yuzhidao1,3,0,2,0,2,0,1,0,NA,NA,NA,0.5843338871260744,0.21193775733772885
vfdgbtb,3,0,0,0,11,0,1,0,NA,NA,NA,0.5944573909154582,0.22122735258406084
tiquscf,3,0,0,0,8,0,1,0,NA,NA,NA,0.573953507282159,0.2024124458191734
trsnjearha,4,0,0,0,10,0,1,0,NA,NA,NA,0.6229318243559157,0.24735624698995407
kimberlysteven,3,0,0,0,16,0,1,0,0.5,2,1,0.368217963952343,0.42026006796768484
shahnawaz0204,2,0,2,0.36,9,0.1,1,0,0,5,0,0.5887673091032068,0.6226419893775056
addisonaiyanago,6,0,3,0,5,0.28,0,0,0.93,15,14,0.5299999815197083,0.5687155328544393
myrontra,2,0,0,0.07,10,0,1,0,1,1,1,0.3486565751953829,0.40231001946779
vfbtrsb,3,0,0,0,10,0,1,0,NA,NA,NA,0.5874607524805171,0.21480705181688067
vsdbdgvf,3,0,0,0,7,0,1,0,NA,NA,NA,0.5670178538098045,0.1960481064691398
emmabuke,2,0,0,0,12,0,1,0,NA,NA,NA,0.5575540964338581,0.18736391200830263
hilarywalli,4,0,0,0,11,0,1,0,NA,NA,NA,0.6300060800159669,0.25384777137895714
dgijhsgueuo,5,0,0,0,10,0.05,1,0,NA,NA,NA,0.6852991127611958,0.30458612292518805
leonado1808,4,0,3,0,5,0.13,1,0,1,2,2,0.46434504922225694,0.5084688277948488
valianens,2,0,4,0.14,16,0.18,1,0,NA,NA,NA,0.8447932702169771,0.450942186768686
randygom3z,4,0,1,0.31,30,0,1,0,0.06,31,2,0.47512275533757026,0.5183587364251169
srvyr,2,0,0,0,1,0,1,0,NA,NA,NA,0.4588065058018876,0.09675050704435535
hopkthygxto,6,0,0,0.07,9,0,1,0,NA,NA,NA,0.690571539981187,0.3094242418075877
dfesgvdxv,4,0,0,0,7,0,1,0,NA,NA,NA,0.602577631085329,0.2286787000671537
tammylo,2,0,3,0,1,0.16,1,0,NA,NA,NA,0.6432047043430533,0.26595917868989233
meowyx,1,1,4,0.4,6,0.08,1,0,0,5,0,0.5149662642275146,0.5549201956275479
zzxxvdfgbg,5,0,0,0,12,0,1,0,NA,NA,NA,0.655457137735462,0.2772023361347958
iddaoeth,3,0,4,0.14,14,0.15,1,0,0,1,0,0.7663499760680222,0.7855965487067825
pradeepkuri,4,0,1,0,10,0.1,1,0,0,1,0,0.6142202148518712,0.6459982499338638
tk196601,3,0,0,0,14,0,1,0,NA,NA,NA,0.6069075634289811,0.23265196068456076
ezequeel,3,0,2,0,3,0,1,0,0,4,0,0.4292306469765319,0.47624692212205694
myramarne,3,0,0,0,9,0,1,0,NA,NA,NA,0.5807283822167849,0.20862925052400236
cameronkenr,3,0,0,0,11,0,1,0,NA,NA,NA,0.5946348017157103,0.22139014943394178
nourew,2,0,0,0,7,0,1,0,NA,NA,NA,0.5249400776541857,0.15743642443852046
xianyuyehe,3,0,2,0,2,0,1,0,NA,NA,NA,0.5845445624513738,0.21213107859696248
sharonvperezu,5,0,0,0.12,20,0,1,0,1,2,2,0.43489300835124384,0.4814428549140907
salmajonathondb,5,0,3,0,5,0.28,0,0,0.83,18,15,0.519070737012513,0.5586865685815646
heyteljjhdef,6,0,0,0.08,28,0,1,0,NA,NA,NA,0.7393133093212744,0.35415098051186045
egergedv,3,0,0,0,7,0,1,0,NA,NA,NA,0.5671952646100566,0.19621090331902077
benedicmacaula,5,0,0,0.07,10,0,1,0,NA,NA,NA,0.6874391305392364,0.30654985992687706
sguhjgwre,4,0,0,0.07,11,0.05,1,0,NA,NA,NA,0.716571462363962,0.3332824593177455
freerider21,3,0,0,0,1,0,1,0,0.38,13,5,0.17433752774353792,0.24235024385611473
saitejakuruva,6,0,3,0.14,2,0,0,1,0.03,39,1,0.5977912355368618,0.6309225833146795
balaaoii,3,0,1,0,1,0.07,1,0,NA,NA,NA,0.5816191322763838,0.20944662637444633
gnardini,2,0,3,0.4,2,0.05,0,0,0,4,0,0.6201875010395164,0.6514739898116305
aysinser,2,0,2,0,1,0.1,1,0,NA,NA,NA,0.5863075822788787,0.21374887229265446
paigehi,2,0,0,0,9,0,1,0,NA,NA,NA,0.5386173415361188,0.16998704408403031
latifcrypto,3,0,3,0.2,3,0.21,1,0,0.25,4,1,0.5442076297732283,0.5817528472490724
monroe7030,4,0,3,0.13,10,0,1,0,NA,NA,NA,0.7721176751053839,0.3842531355351607
ingridmcu,3,0,2,0,1,0.15,1,0,NA,NA,NA,0.6530103471153189,0.27495709624685427
ahpoh1349,4,0,4,0,1,0,0,0,0,2,0,0.5820127624894431,0.6164438384783921
gbgfhfdzgfd,4,0,0,0,10,0,1,0,NA,NA,NA,0.6232201169063253,0.24762079187101063
sulhouso,3,0,0,0.07,10,0,1,0,1,1,1,0.3908784976262065,0.44105397393893764
asgsdhdsh,3,0,0,0,8,0,1,0,NA,NA,NA,0.57426397618260006,0.20269734030646508
nocrabs,2,0,3,0,1,0,0,0,0,2,0,0.47912189045991904,0.5220284487495167
yjyhfdh,3,0,0,0,10,0,1,0,NA,NA,NA,0.5877601332059426,0.21508177150105479
andreaqanders,3,0,0,0,16,0,1,0,0.67,3,2,0.3251810606578614,0.38076826546739656
brunos5857,3,0,4,0,5,0.13,1,0,1,2,2,0.4540496787201289,0.49902152310019465
menmen895,3,0,2,0,1,0,1,0,NA,NA,NA,0.5620799198694553,0.19151692748078658
orzedwin,2,0,3,0.33,12,0.28,0,0,1,2,2,0.6251513073882358,0.656028910007258
jrjames777,2,0,0,0.21,18,0,1,0,0,1,0,0.5439599938645432,0.5815256099794469
kia59,2,0,2,0,3,0,1,0,1,1,1,0.3132742087201104,0.36984222271965705
rxqdrt05as,5,0,1,0.24,24,0.07,1,0,0.67,3,2,0.5535605053990172,0.5903352936787339
michaelandersonww,5,0,0,0,9,0,1,0,NA,NA,NA,0.636509294662707,0.2598152934074059
gumpbing,2,0,2,0.12,11,0.03,1,0,1,1,1,0.46723721487219955,0.5111227556080123
dfhgijiej,4,0,0,0.13,10,0,1,0,NA,NA,NA,0.6827248081283716,0.3022238728013946
cccshfdkc,4,0,0,0,11,0,1,0,NA,NA,NA,0.6303165489164081,0.25413266586624883
eaweru,2,0,0,0.07,10,0,1,0,1,1,1,0.3486565751953829,0.40231001946779
jonathafield,3,0,0,0,10,0,1,0,NA,NA,NA,0.5878155740810213,0.21513264551664257
zekikartal,3,0,3,0.33,5,0,0,0,0,5,0,0.6366663771420968,0.6665954430448437
huynhan160408,5,0,0,0,1,0.03,1,0,NA,NA,NA,0.5949896233162144,0.2217157431337037
darrickla,2,0,2,0,1,0.15,1,0,NA,NA,NA,0.6108993064346527,0.23631488980688223
matthewbaker1,3,0,0,0,9,0,1,0,NA,NA,NA,0.5809834102421473,0.20886327099570623
ddtonywong,3,0,1,0,15,0,0,0,0.71,7,5,0.38943149078665057,0.4397261621320961
aaxghjkklg,5,0,0,0,12,0,1,0,NA,NA,NA,0.6557454302858716,0.2774668810158523
dance888,2,0,0,0.1,6,0,1,0,0,1,0,0.4605159327834831,0.5049551291182516
reza941,1,2,4,0.16,31,0.1,1,0,0.28,36,10,0.3871639589959288,0.4376454148945551
karynbuikefoh24,8,0,4,0,16,0.11,1,0,NA,NA,NA,0.8789910499947331,0.4823229753837597
asfwryhaw,4,0,0,0,10,0,1,0,NA,NA,NA,0.62336426318153,0.2477530643115389
zacharyaylor,4,0,0,0.07,9,0,1,0,NA,NA,NA,0.660696300430406,0.28200993060784274
goodeauthafw,5,0,0,0.08,26,0,1,0,1,1,1,0.487280939242345,0.529515408043521
ghrstjar,3,0,0,0,11,0.05,1,0,NA,NA,NA,0.6371357765510971,0.260390169783548
dvegscs,3,0,0,0,7,0,1,0,NA,NA,NA,0.5674613808104347,0.19645509859384222
dfherawa,3,0,0,0,7,0,1,0,NA,NA,NA,0.5674724689854505,0.19646527339695977
halehodo,3,0,0,0,10,0,1,0,NA,NA,NA,0.5879375440061946,0.21524456835093575
claudiawy,2,0,3,0,1,0.16,1,0,NA,NA,NA,0.6435927904686047,0.26631529679900695
rollroller,3,0,0,0,10,0,1,0,0,1,0,0.47972065191076974,0.5225778881178649
willedwar,2,0,1,0.22,4,0.08,1,0,NA,NA,NA,0.6673307251481657,0.2880978544731826
agaljaeirfefv,6,0,0,0,7,0,1,0,NA,NA,NA,0.6332290428872129,0.25680524748512784
nnbxsgaxd,4,0,0,0.1,14,0,1,0,NA,NA,NA,0.6934378332227595,0.31205442841347686
happymiddleman,5,0,2,0,3,0,1,0,NA,NA,NA,0.6523894093144366,0.27438730727227095
bathanus,2,0,1,0.25,2,0,1,0,1,1,1,0.35607086822258405,0.4091135711523982
luicesmani,3,0,0,0,10,0,1,0,NA,NA,NA,0.5880040730562891,0.2153056171696411
eleanora11,3,0,0,0,16,0,1,0,1,3,3,0.29225472494857857,0.35055418760980306
djsguers,3,0,0,0.13,9,0.03,1,0,NA,NA,NA,0.6786683841017747,0.2985015906608874
ebrahimkonate,5,0,0,0.33,10,0,1,0,1,1,1,0.49603505341728316,0.5375484151048344
gaius8038,3,0,3,0,5,0.11,1,0,1,2,2,0.421382067094547,0.4690448573153443
othaburress,4,0,0,0.19,11,0.03,1,0,0.5,2,1,0.49474697708628634,0.5363664421426779
lawrencemichels,3,0,0,0.07,11,0,1,0,NA,NA,NA,0.6392425298040905,0.2623233823758844
budgey6969,4,0,2,0.45,5,0,0,0,0.14,14,2,0.5212089067613843,0.560648609782734
debrreiber,3,0,0,0,41,0,1,0,1,2,2,0.3324160948556412,0.3874073245016042
jasonanderson54a,4,0,0,0,8,0,1,0,NA,NA,NA,0.610034428783424,0.23552125516371258
hermosachil,1,1,0,0.07,9,0,1,0,NA,NA,NA,0.4854255179563754,0.12117681772857695
rollvy,2,0,3,0,1,0.16,1,0,NA,NA,NA,0.6437036722187623,0.2664170448301825
kontrgomans,4,0,0,0,8,0,1,0,NA,NA,NA,0.6100676933084712,0.23555177957306525
andrewedc,2,0,0,0.07,11,0,1,0,1,4,4,0.26354004771611317,0.3242048391363627
gsvsrgr,3,0,0,0,7,0,1,0,NA,NA,NA,0.567627703435671,0.1966077206406056
anzelikadia,4,0,0,0,10,0,1,0,1,1,1,0.3821742802388393,0.43306675349165324
yannamind,3,0,1,0.13,9,0,1,0,NA,NA,NA,0.6731668012647911,0.29345319251405816
vfbfzgrsd,4,0,0,0,11,0,1,0,1,1,1,0.3892041831988276,0.4395175786681861
fefrgredvd,4,0,0,0,7,0,1,0,NA,NA,NA,0.6031320398361167,0.2291874402230317
jqphu,2,0,1,0.2,1,0.08,0,1,0.33,3,1,0.5160972580791215,0.5559580255455391
giosereth,3,0,4,0.5,11,0.13,1,1,0,7,0,0.7905185015440284,0.8077742279020235
hugovelaskes,5,0,1,0,1,0.03,1,0,0,3,0,0.468617692661661,0.5123895185961485
snacky44,3,0,3,0.11,5,0,1,0,NA,NA,NA,0.6953764158213473,0.31383332315853024
sreyhhaeu,3,0,0,0,7,0,1,0,NA,NA,NA,0.567672056135734,0.19664841985307585
jczhangxyz,4,0,2,0,1,0,1,0,0,2,0,0.453323403256597,0.4983550734959945
supachok443,4,0,1,0.19,12,0,1,0,0,1,0,0.6310520645257864,0.6614436010663194
andersonassd,3,0,0,0.12,11,0,1,0,NA,NA,NA,0.6520271955972553,0.27405493037043066
leonardwoolley,5,0,0,0,10,0,1,0,NA,NA,NA,0.6437406328021481,0.2664509608405744
corn-potage,4,0,1,0.42,6,0.05,1,0,0.25,4,1,0.5134176157836475,0.5534991147921288
maxewman,2,0,0,0.07,9,0,1,0,NA,NA,NA,0.5832583341495462,0.21095080143532555
svrevsedv,4,0,0,0,11,0,1,0,NA,NA,NA,0.630682458691928,0.2544684343691283
enataliesardf,4,0,0,0,7,0,1,0,NA,NA,NA,0.6032096570612271,0.2292586638448546
elon7788,2,0,4,0.13,9,0,1,0,1,1,1,0.47171129349105645,0.5152282886659476
ermirbotki,3,0,0,0,8,0,1,0,NA,NA,NA,0.5747075031832303,0.20310433243116746
milestone100,3,0,2,0,2,0,1,0,NA,NA,NA,0.5851211475521929,0.21266016835907559
apha-pesso,5,0,0,0.09,17,0.16,0,0,1,20,20,0.5056041484558792,0.5463292701952884
dfhndfbfcg,4,0,0,0,7,0,1,0,NA,NA,NA,0.6032429215862743,0.22928918825420727
tkogut,2,0,0,0,5,0.04,0,0,0,10,0,0.4340650912834008,0.480683136281313
roxannejoa,3,0,0,0.06,12,0,1,0,NA,NA,NA,0.6426355113589113,0.2654368721298576
macuru,2,0,0,0,10,0,1,0,NA,NA,NA,0.5460150023007964,0.17677533356396222
tharxwf,3,0,0,0.12,13,0,1,0,NA,NA,NA,0.6611712439269142,0.2824457513413782
0x112828,2,0,1,0,5,0.13,1,0,1,2,2,0.3296606833642262,0.3848788859268906
gtsgbfdb,4,0,0,0,11,0,1,0,NA,NA,NA,0.630771164092054,0.2545498327940688
tiffanyclar,2,0,0,0.07,10,0,1,0,NA,NA,NA,0.590234644263625,0.2173524483967902
erwyhweygw,5,0,0,0,8,0,1,0,NA,NA,NA,0.6303886220540105,0.25419880208651296
evanvannesseth,3,0,2,0.59,42,0.31,0,1,0.12,8,1,0.785883644387443,0.8035211601988835
vincetang7,3,0,3,0,4,0,1,0,0.67,3,2,0.3462153286627476,0.40006986698140723
ppokbnhf,4,0,0,0,9,0,1,0,NA,NA,NA,0.6169090972931917,0.24182963309659958
lvyanoi,2,0,1,0,1,0.07,1,0,NA,NA,NA,0.5400181476464424,0.171272460877882
fyr123123,3,0,4,0.08,8,0,1,0,0.46,13,6,0.4044485758163207,0.45350623715431104
mihu9898,3,0,3,0.09,26,0.11,1,0,0.67,3,2,0.5548836942842306,0.5915494868507628
merlinberkele,5,0,0,0.12,13,0,1,0,NA,NA,NA,0.7168301864476629,0.3335198713904886
awsmkdu,3,0,0,0.07,10,0,1,0,1,1,1,0.3908784976262065,0.44105397393893764
jrtsjedzth,5,0,0,0,9,0,1,0,NA,NA,NA,0.6370526152384789,0.26031385876016633
evalerijvbndg,5,0,0,0,7,0,1,0,NA,NA,NA,0.6234751449316877,0.2478548123427145
shanimizis,3,0,2,0.29,2,0,1,1,0,3,0,0.5883385663359311,0.6222485636569599
deewheasl,3,0,0,0,11,0,1,0,NA,NA,NA,0.5953777094417658,0.22207186124281827
diegos9198,3,0,3,0,5,0.08,1,0,1,2,2,0.39747965781891903,0.4471113733949248
emmaavyfg,4,0,0,0,11,0.05,1,0,NA,NA,NA,0.6730725517771573,0.29336670668755893
parkervaughan,3,0,0,0,9,0,1,0,NA,NA,NA,0.5815045544678877,0.20934148674223155
cristiano1230,3,0,3,0,5,0.11,1,0,1,2,2,0.421382067094547,0.4690448573153443
kristenbarkeru,5,0,0,0.21,22,0,1,0,0.86,7,6,0.42030836214718814,0.4680595972134606
jilele,1,1,2,0,2,0,1,0,NA,NA,NA,0.4453547014786081,0.08440677506223587
bgdsgbrdsgvz,5,0,0,0,11,0,1,0,NA,NA,NA,0.651014475612483,0.27312563168569354
fbggbgb,3,0,0,0,7,0,1,0,NA,NA,NA,0.5679492605111279,0.19690278993101484
frankiebakes,2,0,3,0.11,2,0.07,1,0,NA,NA,NA,0.6730318951354328,0.2933293990761279
argent1980,2,0,2,0,2,0.1,1,0,1,1,1,0.36791488716857906,0.4199819566824715
montreal1609,5,0,0,0,1,0.07,1,0,NA,NA,NA,0.6054642526477638,0.2313275404787584
vdgbvfdsgv,4,0,0,0,7,0,1,0,NA,NA,NA,0.6034646850865895,0.22949268431655848
williamtyl,2,0,0,0,10,0,1,0,NA,NA,NA,0.5462256776260956,0.17696865482319585
0xarmagan,2,0,4,0.55,11,0.11,0,1,0.14,59,8,0.6615704182274813,0.6894480508468828
masadarin,3,0,3,0,1,0.15,1,0,NA,NA,NA,0.6824050990820839,0.301930499311505
bbbssxssdafdghjk,9,0,0,0.11,13,0,1,0,NA,NA,NA,0.7321688285527899,0.3475950157031128
cornommonsd,4,0,0,0,9,0.05,1,0,NA,NA,NA,0.6592991903784209,0.28072790541503023
seleleet,3,0,0,0.06,12,0,1,0,NA,NA,NA,0.6429016275592894,0.26568106740467906
king8881,2,0,1,0,8,0,1,0,0,1,0,0.4565038614569492,0.5012735461902146
bgdhbftn,4,0,0,0,10,0,1,0,NA,NA,NA,0.6239852009824123,0.24832285328612225
shreyans88,3,0,4,0.14,2,0.05,1,0,NA,NA,NA,0.7431553619642333,0.35767654979209484
sethjje,2,0,0,0.07,10,0,1,0,NA,NA,NA,0.5904896722889874,0.21758646886849406
louisphilemon,4,0,0,0,11,0,1,0,NA,NA,NA,0.6310483684674479,0.2548042028720078
primograc,3,0,0,0,9,0,1,0,NA,NA,NA,0.5816819652681398,0.20950428359211248
ssabotage,2,0,3,0,3,0,1,0,NA,NA,NA,0.5838035027544874,0.21145106258860558
mark02645397,4,0,2,0,1,0,1,0,1,6,6,0.2478761524771907,0.30983123393229006
ulenkao,2,0,0,0,7,0.05,1,0,NA,NA,NA,0.568095254815502,0.1970367581720627
saju101,2,0,2,0.22,16,0.16,1,0,0,6,0,0.6255042809595707,0.6563528079065003
elsieossef,4,0,0,0.21,10,0.05,1,0,NA,NA,NA,0.7426896586135715,0.35724920806115734
bloodhunterg,4,0,0,0.23,22,0.08,1,0,0.33,3,1,0.5402084946508796,0.5780831349246726
bvfgbtgsbbtb,5,0,0,0,10,0,1,0,NA,NA,NA,0.6441841598027783,0.2668579529652768
sandycromwe,4,0,0,0,10,0,1,0,NA,NA,NA,0.6240849945575541,0.24841442651418028
tethoah,3,0,0,0.07,11,0,1,0,NA,NA,NA,0.6398302030799254,0.262862646941115
egrwscfsg,4,0,0,0,7,0,1,0,NA,NA,NA,0.6036531840618572,0.229665655969557
horacebeaufor,6,0,0,0.07,11,0,1,0,NA,NA,NA,0.7055646006316564,0.32318227142304795
fvsgdedg,3,0,0,0,7,0,1,0,NA,NA,NA,0.5681932003614745,0.19712663559960114
janetnuslp,4,0,0,0.07,11,0,1,0,NA,NA,NA,0.6753567158304027,0.2954627161297762
reversetime2201,7,0,2,0,6,0.08,1,0,1,4,4,0.412698178028042,0.4610762906737755
nhnfdgfn,3,0,0,0,11,0,1,0,NA,NA,NA,0.5956992665172227,0.2223669305332275
belnedictg,2,0,0,0,7,0.05,1,0,NA,NA,NA,0.5682061365656595,0.1971385062032383
region42avtoxxxx,2,0,1,0.08,8,0,1,0,0,1,0,0.5031702940399211,0.544095900910984
georged07,2,0,1,0.11,5,0.08,1,0,NA,NA,NA,0.6511456856835028,0.2732460335225847
cruickabby,4,0,4,0.15,8,0.16,1,0,0.56,25,14,0.5280965114753371,0.5669688583192581
jerseyhan,2,0,3,0,6,0.15,1,0,1,3,3,0.37772792205752176,0.4289866574415118
clin54,2,0,0,0.07,32,0.18,0,0,0,6,0,0.6250016170255231,0.655891550165171
tatoughsu,3,0,0,0.21,15,0,1,0,NA,NA,NA,0.6874040179850198,0.3065176397170048
hardy-liu,3,0,4,0.11,5,0,0,0,0.08,12,1,0.5171986834640198,0.5569687226552166
fendydeng,3,0,0,0.29,1,0,0,0,1,4,4,0.3314865361834871,0.3865543368402488
defibig,2,0,4,0,2,0.26,0,0,0.71,14,10,0.4285967729714646,0.47566526254383645
sdjgheurh,4,0,0,0,10,0.05,1,0,NA,NA,NA,0.666397470417673,0.287241475210788
krishnaveni1996,5,0,0,0,1,0.1,1,0,NA,NA,NA,0.6243455666704243,0.24865353438744295
acymassfayt,5,0,0,0,11,0,1,0,NA,NA,NA,0.6513582090379715,0.2734410505823379
littlehodler52,5,0,0,0,10,0.11,1,0,0,1,0,0.6136103652260048,0.645438635762398
hjhlos,2,0,3,0,14,0.21,0,0,0.33,3,1,0.5797138142028434,0.6143342626320181
dorimerzo,3,0,1,0,1,0.1,1,0,NA,NA,NA,0.6012655303751314,0.22747468169824248
fregvsvs,3,0,0,0,7,0,1,0,NA,NA,NA,0.5683040821116321,0.19722838363077674
ivikaan,2,0,0,0,9,0.05,1,0,NA,NA,NA,0.5818834004475927,0.20968912584874816
nfgnyfndf,4,0,0,0,10,0,1,0,NA,NA,NA,0.6242624053578062,0.24857722336406124
fredoxygen,3,0,2,0.15,6,0,1,0,0,4,0,0.5176773230188665,0.5574079349897912
alenkaudonnaodedv,8,0,0,0,7,0,1,0,NA,NA,NA,0.6413843956113003,0.264288815178093
lanhaoxiang,2,0,1,0,1,0,0,0,0.11,9,1,0.29314362697900825,0.35136986765972744
rollquaye,4,0,2,0.17,16,0.28,0,1,0,18,0,0.831343313922867,0.8452361571803586
jeremykwuang,3,0,1,0,1,0.03,1,0,0,1,0,0.46378140032562276,0.5079516086363729
szxv20588,4,0,2,0,8,0.15,1,0,0,1,0,0.6535000748451814,0.6820424899778189
dallasgoh,3,0,3,0.2,7,0,0,0,0,11,0,0.6125422043661537,0.6444584630620731
naf12345,1,1,1,0.06,12,0.11,0,0,0.67,3,2,0.40015560405605444,0.44956689254729587
xiaopiyou,3,0,2,0,2,0,1,0,NA,NA,NA,0.5857199090030437,0.2132096077274238
7skilless7,3,0,3,0.23,6,0.06,0,0,0.12,8,1,0.5778842653252438,0.6126554201176208
astrlitzerd,4,0,0,0.2,9,0.05,1,0,NA,NA,NA,0.733338631016952,0.34866845743201536
bubu9844,2,0,2,0.19,27,0.16,0,0,0,8,0,0.6998819109360822,0.7246036914185711
manglesh177,1,1,1,0.17,13,0,0,0,0.33,9,3,0.32724900529829964,0.38266586624882143
alberrtjordans,5,0,0,0,9,0,1,0,NA,NA,NA,0.6375515831141879,0.2607717249004565
ghmaipie,3,0,0,0.06,11,0,1,0,NA,NA,NA,0.637982173910633,0.26116684642152177
corei1000,3,0,2,0,1,0.1,1,0,1,1,1,0.3875280207422794,0.437979487596915
pantelin76,2,0,2,0.25,11,0,1,0,0,2,0,0.5521486111136779,0.5890397020817647
quimalguero,5,0,0,0,1,0,0,0,NA,NA,NA,0.6327799717990749,0.2563931679588667
syrahdelacour,6,0,2,0,1,0,1,0,0,2,0,0.4835534644078822,0.5260949783955013
danielelisalde,4,0,2,0,1,0,1,0,NA,NA,NA,0.5986487210714134,0.2250734281624984
wulei777,3,0,0,0,1,0.13,0,0,0.5,2,1,0.4172184573761312,0.4652242187447006
defipoop,2,0,4,0.43,22,0,0,0,0,2,0,0.7273103598667201,0.7497727627303745
jagan122,3,0,3,0,10,0.11,1,0,0,1,0,0.6474884359574732,0.676526050887582
jjwusi,3,0,3,0.2,10,0,1,0,1,1,1,0.5098693997786061,0.5502431777945097
travisformayor,5,0,3,0.5,25,0.25,0,0,0.4,5,2,0.7646239168239032,0.7840126710214824
cryptoazher,2,0,2,0,1,0.15,1,0,0,12,0,0.4163554277540717,0.46443227990205055
