Handle,LevDistance,LevMatchCount,IntersectionalityScore,DDNADistance,DDNAGrantsDonated,APUScore,SADScore,GrantOwner,IPsSharedRatio,IPsUsedCount,IPsSharedCount,MetaRank_Loki,MetaRank_Thor
tursatur,3,0,1,0.19,15,0.11,1,0,0,1,0,0.6838502578924706,0.7098926219110994
otomarukanta,5,0,3,0.08,25,0,0,0,0.33,3,1,0.639789546438201,0.6694613459229564
mcmich,2,0,3,0.45,28,0,0,0,0.67,64,43,0.48067608299129394,0.5234546169864946
danibergey,3,0,2,0.78,11,0,0,0,0,3,0,0.6806919760421498,0.7069944988231145
kingdavida,3,0,2,0.27,22,0.16,1,0,1,4,4,0.5318221382806306,0.5703875921667583
avatar4k,2,0,1,0.02,88,0.08,1,0,0.83,6,5,0.3883818102184925,0.4387629474369671
phs4655,3,0,3,0,4,0,1,0,1,1,1,0.3928448006623337,0.44285830569178486
kieu52628x,4,0,0,0,1,0,1,0,0,1,0,0.42870395866328354,0.47576361897397285
shuaishuaiw2003,5,0,1,0,8,0,1,0,0,1,0,0.5543181973584271,0.5910305718917672
thecrunks,3,0,4,0.38,6,0,1,0,0,1,0,0.6644903043149633,0.6921274156678402
zonpower,3,0,3,0.5,5,0.15,0,0,0.09,11,1,0.6353727567235922,0.6654083826811285
berksohto,4,0,3,0.38,71,0.44,1,1,0.05,116,6,0.706314900474389,0.7305067730272753
cryptoludka,3,0,0,0.2,3,0.1,1,0,0.5,2,1,0.43133000811284805,0.4781733515123149
ermio,1,2,4,0.33,17,0.31,0,1,0.43,112,48,0.5760473243309673,0.610969794401145
asmaral11,3,0,0,0,3,0,1,0,0,1,0,0.4277171110868814,0.47485806149651005
brendan91241,3,0,2,0,3,0.08,1,0,0,1,0,0.5429195534422315,0.5805708742869159
wwcci1919,4,0,1,0,8,0.08,1,0,0,1,0,0.5886028345071399,0.6224910631312618
mccoady,3,0,3,0.75,10,0.08,0,0,0,24,0,0.7102659868383363,0.7341323945381657
xiaochen1155,3,0,4,0.78,4,0,1,0,1,2,2,0.46952692301295285,0.5132238524517884
shashank-kumar,4,0,2,0.18,19,0.28,0,0,0,23,0,0.7636758778600562,0.783142725354931
